,R4_1,R7_2,R7_3,V1_3,V2_2,V2_3,R1_2,V2_1,V2_4,R1_3,R1_5,R4_4,V3_2,V3_4,V4_1,R7_4,R7_5,V1_2,V3_3,V4_3,V4_5,R1_1,R1_4,R4_3,R4_5,V1_1,V3_1,R4_2,R7_1,V3_5,V4_2,V4_4
014175b02f0e81d1e2e2615d38df336b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0143682cbc0a7daf814989944698ec4b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0143bc4b43267319ec43adff56ddfa96,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0150393d21a83f270d5ecde6d189b58c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
015c207c71785f820fc0baa80bcf5353,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015f7f385d7eb2d6b6dc72885a0e3f75,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015fea4d71f9bc955b4ed4523ace7f0c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01663bf8446c618b9c334348e21d9b86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
016c6d8ee6e634bd3264b0d07abb2622,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
016edc2ef2fecbcf115a29f9685199bb,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
016f79499022f7283677e498d1f04b68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01710dcc0de5a40fd04abeb3e1f6acb7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017740e814c004489ef488d9ba7e6bba,0,8,11,0,0,4,5,0,12,0,5,0,4,0,7,7,5,0,0,0,8,3,4,7,0,0,1,5,0,0,0,0
0177da05554cbd6c5b179201caca61d0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0179247a2bfde136f0d390bb5686ec83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017a0829451216d036a9badd73961047,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017db2de51e43da4d8584d8854626800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
017dcce2210225c3030a3d6f7457dee4,18,8,0,0,0,0,10,0,0,0,0,0,15,22,0,0,0,0,0,0,0,17,0,7,0,0,12,0,19,0,0,18
017ef93ff91a9b3718e03ef6701bd20e,0,4,0,0,35,10,0,28,11,0,0,0,0,15,0,14,0,0,16,0,0,0,0,0,21,0,0,0,0,8,12,0
017fa24190902884b34c8909a43e8974,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017ff85b9a17d788fee890182ccf2d04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0182826f2434807fd3c3ac0369a82aa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018762ff41a380840e9e50908f02ac4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
018bc748e9025248bd62be308e771f6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01915fe98bfdcedf0f259d421f8e94a5,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01925c502a875824ebe12995d94ebfd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0199c3b96230e1e6248ae8507aa3f684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019a73c1a34345d3ceb5f6a08bcbb62c,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019f43d9d7a499bb5f44a14dce40ef75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
01a0e30f462c4ffc0a903f9120cb3b44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
01a2b4a882f582d90279f9c4761ed602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
01a3a14ca49a7c6f97ea51a5525933eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01aa61adf433f95ffae327c122251660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
01abd75870eb7402b92b283274aeb47b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
01b39c47b5f27a1506776eb3dbb164a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
01b47758d78f1af83fc551c62d9818c9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01bd42a3fc2a8e4049d4050bd7da91e5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01c7beccbe172d120b34ce920b2a54ae,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01cc2169851675a54db7a6c0005cbed6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
